time	event
33	S160
36	T160
73	S160
77	T160
101	S160
104	T160
128	S160
131	T0
358	S35
364	T0
387	S160
391	T160
422	S160
425	T160
457	S160
459	T160
489	S160
492	T0
527	T21
535	T0
611	S22
618	T0
646	T23
652	T0
684	S160
691	T0
710	T21
718	T0
776	S22
779	T0
804	T23
808	T0
819	S70
823	T70
835	S70
839	T70
847	S70
853	T0
888	S160
892	T160
924	S160
930	T0
979	T21
987	T0
988	P22
993	T0
1005	T23
1011	T0
1018	T0
1026	T0
1040	S70
1044	T70
1051	S70
1054	T0
1064	T0
1071	T0
1098	S160
1102	T160
1128	S160
1132	T160
1157	S160
1159	T160
1195	S160
1200	T0
1223	T21
1231	T0
1232	P22
1237	T0
1260	T23
1268	T0
1293	S160
1298	T0
1350	T21
1356	T0
1357	P22
1365	T0
1399	T23
1406	T0
1415	S70
1417	T70
1429	S70
1436	T0
1470	S160
1473	T160
1508	S160
1510	T160
1536	S160
1539	T160
1567	S160
1573	T0
1642	S31
1649	T0
1654	T0
1662	T0
1856	S32
1864	T0
1873	T0
1878	T0
1955	S33
1962	T0
1999	S160
2001	T160
2026	S160
2031	T0
2042	S70
2044	T70
2055	S70
2059	T0
2078	S160
2080	T160
2121	S160
2125	T0
2134	S46
2140	T0
2152	S41
2157	T0
2320	S46
2324	T0
2432	S41
2438	T0
2442	S46
2450	T0
2580	S41
2583	T0
2587	S46
2595	T0
2611	S42
2615	T0
2617	T0
2624	T0
2663	S160
2665	T160
2691	S160
2693	T160
2717	S160
2719	T160
2748	S160
2756	T0
2769	S70
2777	T0
2779	P211
2783	T0
2787	S212
2790	T0
2792	P213
2795	T0
2818	T21
2823	T0
2905	S22
2912	T0
2947	T23
2953	T0
2987	S160
2989	T160
3012	S160
3016	T160
3040	S160
3044	T0
3068	S70
3073	T0
3105	S160
3113	T0
3136	T21
3143	T0
3144	P22
3149	T0
3175	T23
3178	T0
3182	S70
3185	T70
3203	S70
3208	T0
3240	S160
3248	T0
3282	T21
3289	T0
3290	P22
3294	T0
3312	T23
3319	T0
3334	S70
3341	T0
3378	S160
3381	T160
3408	S160
3410	T160
3432	S160
3436	T160
3475	S160
3482	T0
3489	T0
3495	T0
3499	S46
3507	T0
3758	S43
3763	T0
3771	T0
3778	T0
3810	S160
3812	T160
3844	S160
3848	T160
3874	S160
3877	T160
3903	S160
3907	T0
3913	T0
3920	T0
3940	S70
3942	T70
3953	S70
3956	T0
3991	S160
3995	T160
4020	S160
4024	T160
4050	S160
4053	T160
4077	S160
4080	T0
4101	T21
4105	T0
4142	S22
4146	T0
4149	T23
4153	T0
4177	T11
4185	T0
4186	P12
4194	T0
4201	T13
4204	T0
4211	T0
4215	T0
4245	T21
4248	T0
4285	S22
4288	T0
4309	T23
4315	T0
4318	T0
4321	T0
4460	S153
4465	T0
4499	S160
4502	T160
4536	S160
4540	T0
4564	T21
4572	T0
4636	S22
4642	T0
4651	T23
4659	T0
4697	S160
4700	T160
4735	S160
4739	T160
4758	S160
4761	T160
4781	S160
4788	T0
4923	S31
4928	T0
4935	T0
4940	T0
4944	S70
4948	T70
4972	S70
4979	T0
5014	S160
5017	T160
5041	S160
5045	T160
5078	S160
5082	T0
5126	T21
5130	T0
5131	P22
5139	T0
5165	T23
5173	T0
5204	S160
5207	T0
5213	T0
5220	T0
5231	S70
5238	T0
5270	S160
5272	T160
5309	S160
5313	T160
5344	S160
5347	T160
5380	S160
5386	T0
5392	T0
5398	T0
5404	T21
5411	T0
5487	S22
5493	T0
5511	T23
5517	T0
5546	S160
5549	T160
5589	S160
5592	T0
5951	S33
5957	T0
5988	S160
